Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s,Incumplimiento
1,2,31,1,56.52,0.0,1000.0,-0.0
1,2,31,2,56.52,56.52,0.0,-0.0
1,2,31,3,56.52,56.52,0.0,-0.0
1,2,31,4,56.52,56.52,0.0,-0.0
1,2,31,5,56.52,56.52,0.0,-0.0
1,2,32,1,56.52,0.0,1000.0,-0.0
1,2,32,2,56.52,56.52,0.0,-0.0
1,2,32,3,56.52,56.52,0.0,-0.0
1,2,32,4,56.52,56.52,0.0,-0.0
1,2,32,5,56.52,56.52,0.0,-0.0
1,2,33,1,56.52,56.52,0.0,-0.0
1,2,33,2,56.52,56.52,0.0,-0.0
1,2,33,3,56.52,56.52,0.0,-0.0
1,2,33,4,56.52,56.52,0.0,-0.0
1,2,33,5,56.52,56.52,0.0,-0.0
1,2,34,1,56.52,56.52,0.0,-0.0
1,2,34,2,56.52,56.52,0.0,-0.0
1,2,34,3,56.52,56.52,0.0,-0.0
1,2,34,4,56.52,56.52,0.0,-0.0
1,2,34,5,56.52,56.52,0.0,-0.0
1,2,35,1,56.52,56.52,0.0,-0.0
1,2,35,2,56.52,56.52,0.0,-0.0
1,2,35,3,56.52,56.52,0.0,-0.0
1,2,35,4,56.52,56.52,0.0,-0.0
1,2,35,5,56.52,56.52,0.0,-0.0
1,2,36,1,56.52,56.52,0.0,-0.0
1,2,36,2,56.52,56.52,0.0,-0.0
1,2,36,3,56.52,56.52,0.0,-0.0
1,2,36,4,56.52,56.52,0.0,-0.0
1,2,36,5,56.52,56.52,0.0,-0.0
1,2,37,1,56.52,56.52,0.0,-0.0
1,2,37,2,56.52,56.52,0.0,-0.0
1,2,37,3,56.52,56.52,0.0,-0.0
1,2,37,4,56.52,56.52,0.0,-0.0
1,2,37,5,56.52,56.52,0.0,-0.0
1,2,38,1,56.52,56.52,0.0,-0.0
1,2,38,2,56.52,56.52,0.0,-0.0
1,2,38,3,56.52,56.52,0.0,-0.0
1,2,38,4,56.52,56.52,0.0,-0.0
1,2,38,5,56.52,56.52,0.0,-0.0
1,2,39,1,56.52,56.52,0.0,-0.0
1,2,39,2,56.52,56.52,0.0,-0.0
1,2,39,3,56.52,56.52,0.0,-0.0
1,2,39,4,56.52,56.52,0.0,-0.0
1,2,39,5,56.52,56.52,0.0,-0.0
1,2,40,1,56.52,56.52,0.0,-0.0
1,2,40,2,56.52,56.52,0.0,-0.0
1,2,40,3,56.52,56.52,0.0,-0.0
1,2,40,4,56.52,56.52,0.0,-0.0
1,2,40,5,56.52,56.52,0.0,-0.0
1,2,41,1,56.52,56.52,0.0,-0.0
1,2,41,2,56.52,56.52,0.0,-0.0
1,2,41,3,56.52,56.52,0.0,-0.0
1,2,41,4,56.52,56.52,0.0,-0.0
1,2,41,5,56.52,56.52,0.0,-0.0
1,2,42,1,56.52,56.52,0.0,-0.0
1,2,42,2,56.52,56.52,0.0,-0.0
1,2,42,3,56.52,56.52,0.0,-0.0
1,2,42,4,56.52,56.52,0.0,-0.0
1,2,42,5,56.52,56.52,0.0,-0.0
1,2,43,1,56.52,56.52,0.0,-0.0
1,2,43,2,56.52,56.52,0.0,-0.0
1,2,43,3,56.52,56.52,0.0,-0.0
1,2,43,4,56.52,56.52,0.0,-0.0
1,2,43,5,56.52,56.52,0.0,-0.0
1,2,44,1,56.52,56.52,0.0,-0.0
1,2,44,2,56.52,56.52,0.0,-0.0
1,2,44,3,56.52,56.52,0.0,-0.0
1,2,44,4,56.52,56.52,0.0,-0.0
1,2,44,5,56.52,56.52,0.0,-0.0
1,2,45,1,56.52,56.52,0.0,-0.0
1,2,45,2,56.52,56.52,0.0,-0.0
1,2,45,3,56.52,56.52,0.0,-0.0
1,2,45,4,56.52,56.52,0.0,-0.0
1,2,45,5,56.52,56.52,0.0,-0.0
1,2,46,1,56.52,56.52,0.0,-0.0
1,2,46,2,56.52,56.52,0.0,-0.0
1,2,46,3,56.52,56.52,0.0,-0.0
1,2,46,4,56.52,56.52,0.0,-0.0
1,2,46,5,56.52,56.52,0.0,-0.0
1,2,47,1,56.52,56.52,0.0,-0.0
1,2,47,2,56.52,56.52,0.0,-0.0
1,2,47,3,56.52,56.52,0.0,-0.0
1,2,47,4,56.52,56.52,0.0,-0.0
1,2,47,5,56.52,56.52,0.0,-0.0
1,2,48,1,56.52,56.52,0.0,-0.0
1,2,48,2,56.52,56.52,0.0,-0.0
1,2,48,3,56.52,56.52,0.0,-0.0
1,2,48,4,56.52,56.52,0.0,-0.0
1,2,48,5,56.52,56.52,0.0,-0.0
1,3,1,1,0.0,0.0,0.0,0.0
1,3,1,2,0.0,0.0,0.0,0.0
1,3,1,3,0.0,0.0,0.0,0.0
1,3,1,4,0.0,0.0,0.0,0.0
1,3,1,5,0.0,0.0,0.0,0.0
1,3,2,1,0.0,0.0,0.0,0.0
1,3,2,2,0.0,0.0,0.0,0.0
1,3,2,3,0.0,0.0,0.0,0.0
1,3,2,4,0.0,0.0,0.0,0.0
1,3,2,5,0.0,0.0,0.0,0.0
1,3,3,1,0.0,0.0,0.0,0.0
1,3,3,2,0.0,0.0,0.0,0.0
1,3,3,3,0.0,0.0,0.0,0.0
1,3,3,4,0.0,0.0,0.0,0.0
1,3,3,5,0.0,0.0,0.0,0.0
1,3,4,1,0.0,0.0,0.0,0.0
1,3,4,2,0.0,0.0,0.0,0.0
1,3,4,3,0.0,0.0,0.0,0.0
1,3,4,4,0.0,0.0,0.0,0.0
1,3,4,5,0.0,0.0,0.0,0.0
1,3,5,1,0.0,0.0,0.0,0.0
1,3,5,2,0.0,0.0,0.0,0.0
1,3,5,3,0.0,0.0,0.0,0.0
1,3,5,4,0.0,0.0,0.0,0.0
1,3,5,5,0.0,0.0,0.0,0.0
1,3,6,1,0.0,0.0,0.0,0.0
1,3,6,2,0.0,0.0,0.0,0.0
1,3,6,3,0.0,0.0,0.0,0.0
1,3,6,4,0.0,0.0,0.0,0.0
1,3,6,5,0.0,0.0,0.0,0.0
1,3,7,1,0.0,0.0,0.0,0.0
1,3,7,2,0.0,0.0,0.0,0.0
1,3,7,3,0.0,0.0,0.0,0.0
1,3,7,4,0.0,0.0,0.0,0.0
1,3,7,5,0.0,0.0,0.0,0.0
1,3,8,1,0.0,0.0,0.0,0.0
1,3,8,2,0.0,0.0,0.0,0.0
1,3,8,3,0.0,0.0,0.0,0.0
1,3,8,4,0.0,0.0,0.0,0.0
1,3,8,5,0.0,0.0,0.0,0.0
1,3,9,1,0.0,0.0,0.0,0.0
1,3,9,2,0.0,0.0,0.0,0.0
1,3,9,3,0.0,0.0,0.0,0.0
1,3,9,4,0.0,0.0,0.0,0.0
1,3,9,5,0.0,0.0,0.0,0.0
