Central,Semana,Temporada,Caudal_m3s
5,15,5,23.61850159421866
5,15,6,22.11000362962107
5,16,1,25.74666479593915
5,16,2,27.18248577270925
5,16,3,26.16163695271113
5,16,4,24.40961735487156
5,16,5,24.77279196854566
5,16,6,24.3758003149412
5,17,1,26.39928979806395
5,17,2,26.17805569647649
5,17,3,28.71571481585281
5,17,4,26.01294343305733
5,17,5,28.13572007119593
5,17,6,24.70624940426209
5,18,1,24.7297084468493
5,18,2,24.22642996867236
5,18,3,25.75974713072393
5,18,4,25.67623697837874
5,18,5,24.7717693432905
5,18,6,21.97671093584448
5,19,1,23.85421530672342
5,19,2,25.32099254974496
5,19,3,26.61664791309807
5,19,4,28.14572766118926
5,19,5,22.58375541914478
5,19,6,26.43679484295072
5,20,1,30.0268522619695
5,20,2,24.93551342948109
5,20,3,25.38479790268077
5,20,4,26.23966125276344
5,20,5,23.18608230449652
5,20,6,27.47291683060021
5,21,1,25.10134294078034
5,21,2,25.36319004154274
5,21,3,27.92350913594948
5,21,4,25.01985129787665
5,21,5,25.29633842252892
5,21,6,25.48309383305729
5,22,1,24.965562123446
5,22,2,24.51634493975314
5,22,3,24.88061327814679
5,22,4,26.41265810773114
5,22,5,24.70425242748259
5,22,6,27.03929502893652
5,23,1,25.21701606445111
5,23,2,29.94940801700949
5,23,3,24.44874519604118
5,23,4,24.72566593275084
5,23,5,27.28393923917289
5,23,6,23.72264642821965
5,24,1,28.19366055445465
5,24,2,23.43485984617389
5,24,3,24.76157352476166
5,24,4,26.04539100892827
5,24,5,23.84747828652899
5,24,6,27.90230195309298
5,25,1,14.43938400314385
5,25,2,14.84688540582024
5,25,3,14.43934193099597
5,25,4,12.81089145396231
5,25,5,14.90798784315584
5,25,6,14.74314224149016
5,26,1,14.99334013476404
5,26,2,12.94463352737087
5,26,3,13.28237399672713
5,26,4,14.37909212458564
5,26,5,14.07091876064162
5,26,6,14.8474831524523
5,27,1,14.71954595859339
5,27,2,13.76353366657303
5,27,3,15.87827949514781
5,27,4,14.02901647812285
5,27,5,14.60838327832572
5,27,6,15.84312595846958
5,28,1,12.78497287898131
5,28,2,13.43453961560723
5,28,3,13.87019886428876
5,28,4,13.5328417990672
5,28,5,14.01555020871788
5,28,6,14.57212190805911
5,29,1,12.96401912730813
5,29,2,14.11679100608924
5,29,3,15.11734142047686
5,29,4,13.38400630063487
5,29,5,14.49896135481143
5,29,6,13.35890592320003
5,30,1,12.85723189179482
5,30,2,14.24319540302861
5,30,3,14.5510060604823
5,30,4,13.76426147097942
5,30,5,14.47341540675565
5,30,6,14.26087248217234
5,31,1,12.29728093558864
5,31,2,13.47793648067493
5,31,3,15.43805120382241
5,31,4,14.72247263372311
5,31,5,14.92723728942729
5,31,6,14.99949185543907
5,32,1,13.63128675273819
5,32,2,14.42307942682463
5,32,3,13.56567432540451
5,32,4,14.62484218691058
5,32,5,14.23517701116697
5,32,6,15.34967055723168
5,33,1,15.29786198779659
5,33,2,13.30667995072612
5,33,3,13.0681729381223
5,33,4,14.80916020928335
5,33,5,15.56238558838211
5,33,6,14.01592140186728
5,34,1,15.02891222824321
5,34,2,15.53506880082319
5,34,3,14.51869295439044
